"postcode","lga_code19","LGAname"
"2225","17150","Sutherland Shire (A)"
"2535","16950","Shoalhaven (C)"
"2048","14170","Inner West (A)"
"2000","17200","Sydney (C)"
"2061","15950","North Sydney (A)"
"2484","17550","Tweed (A)"
"2199","11570","Canterbury-Bankstown (A)"
"2287","15900","Newcastle (C)"
"2557","11450","Camden (A)"
"2768","10750","Blacktown (C)"
"2155","17420","The Hills Shire (A)"
"2323","15050","Maitland (C)"
"2487","17550","Tweed (A)"
"2540","16950","Shoalhaven (C)"
"2518","18450","Wollongong (C)"
"2074","14500","Ku-ring-gai (A)"
"2203","14170","Inner West (A)"
"2779","10900","Blue Mountains (C)"
"2066","14700","Lane Cove (A)"
"2194","11570","Canterbury-Bankstown (A)"
"2759","16350","Penrith (C)"
"2037","17200","Sydney (C)"
"2421","12700","Dungog (A)"
"2210","12930","Georges River (A)"
"2162","11570","Canterbury-Bankstown (A)"
"2032","16550","Randwick (C)"
"2251","11650","Central Coast (C) (NSW)"
"2036","16550","Randwick (C)"
"2150","16260","Parramatta (C)"
"2034","16550","Randwick (C)"
"2428","15240","Mid-Coast (A)"
"2111","14100","Hunters Hill (A)"
"2280","14650","Lake Macquarie (C)"
"2278","14650","Lake Macquarie (C)"
"2264","14650","Lake Macquarie (C)"
"2190","11570","Canterbury-Bankstown (A)"
"2259","11650","Central Coast (C) (NSW)"
"2321","15050","Maitland (C)"
"2427","15240","Mid-Coast (A)"
"2770","10750","Blacktown (C)"
"2131","14170","Inner West (A)"
"2283","14650","Lake Macquarie (C)"
"2140","17100","Strathfield (A)"
"2219","10500","Bayside (A)"
